latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
21.30012,110.05179,311.68,2,1.38,2025-02-24,0200,T,50,6.1NRT,290.18,21.1,D
44.40031,131.65303,300.34,2.24,1.45,2025-02-24,0151,T,35,6.1NRT,277.59,21.78,D
15.0105,120.28248,329.91,1.86,1.33,2025-02-24,0200,T,74,6.1NRT,286.94,57.1,D
44.40413,131.34026,311.16,2.15,1.43,2025-02-24,0151,T,39,6.1NRT,274.83,38.59,D
15.01519,120.27662,319.64,1.86,1.33,2025-02-24,0200,T,49,6.1NRT,287.54,32.03,D
15.01245,120.29327,321.8,1.86,1.33,2025-02-24,0200,T,49,6.1NRT,285.17,38.96,D
44.39824,131.36615,315.08,2.16,1.43,2025-02-24,0151,T,54,6.1NRT,275.07,47.66,D
44.39794,131.3593,320.47,2.16,1.43,2025-02-24,0151,T,46,6.1NRT,275.62,58.79,D
43.92164,132.01987,302.93,2.43,1.5,2025-02-24,0151,T,54,6.1NRT,276.14,31.49,D
43.63418,131.96635,322.9,2.46,1.51,2025-02-24,0151,T,82,6.1NRT,276.2,92.14,D
42.59789,130.55701,324.21,2.19,1.43,2025-02-24,0151,T,0,6.1NRT,277.5,72.34,D
42.58569,130.55193,322.11,2.19,1.43,2025-02-24,0151,T,64,6.1NRT,276.44,68.61,D
43.22811,120.49719,307.32,1.04,1.02,2025-02-24,0151,T,65,6.1NRT,276.9,10.63,D
